Datum,Energietraeger,Produktion_GWh
2014-03-21,Thermische,10.8
2014-03-22,Flusskraft,43.8
2014-03-22,Kernkraft,79.4
2014-03-22,Speicherkraft,26.6
2014-03-22,Thermische,10.8
2014-03-23,Flusskraft,40.6
2014-03-23,Kernkraft,79.6
2014-03-23,Speicherkraft,30.6
2014-03-23,Thermische,10.8
2014-03-24,Flusskraft,37.8
2014-03-24,Kernkraft,79.6
2014-03-24,Speicherkraft,87.3
2014-03-24,Thermische,10.8
2014-03-25,Flusskraft,38.1
2014-03-25,Kernkraft,79.7
2014-03-25,Speicherkraft,81.7
2014-03-25,Thermische,10.8
2014-03-26,Flusskraft,37.2
2014-03-26,Kernkraft,79.7
2014-03-26,Speicherkraft,92.0
2014-03-26,Thermische,10.8
2014-03-27,Flusskraft,36.1
2014-03-27,Kernkraft,79.7
2014-03-27,Speicherkraft,91.3
2014-03-27,Thermische,10.8
2014-03-28,Flusskraft,34.1
2014-03-28,Kernkraft,79.7
2014-03-28,Speicherkraft,81.0
2014-03-28,Thermische,10.8
2014-03-29,Flusskraft,28.4
2014-03-29,Kernkraft,79.5
2014-03-29,Speicherkraft,37.3
2014-03-29,Thermische,10.8
2014-03-30,Flusskraft,27.6
2014-03-30,Kernkraft,79.4
2014-03-30,Speicherkraft,37.9
2014-03-30,Thermische,10.8
2014-03-31,Flusskraft,31.0
2014-03-31,Kernkraft,79.4
2014-03-31,Speicherkraft,77.0
2014-03-31,Thermische,10.8
2014-04-01,Flusskraft,33.5
2014-04-01,Kernkraft,67.2
2014-04-01,Speicherkraft,70.5
2014-04-01,Thermische,10.1
2014-04-02,Flusskraft,34.7
2014-04-02,Kernkraft,70.7
2014-04-02,Speicherkraft,62.2
2014-04-02,Thermische,10.1
2014-04-03,Flusskraft,36.7
2014-04-03,Kernkraft,70.6
2014-04-03,Speicherkraft,78.8
2014-04-03,Thermische,10.1
2014-04-04,Flusskraft,37.5
2014-04-04,Kernkraft,70.6
2014-04-04,Speicherkraft,73.1
2014-04-04,Thermische,10.1
2014-04-05,Flusskraft,38.0
2014-04-05,Kernkraft,70.3
2014-04-05,Speicherkraft,45.1
2014-04-05,Thermische,10.1
2014-04-06,Flusskraft,38.7
2014-04-06,Kernkraft,70.3
2014-04-06,Speicherkraft,22.1
2014-04-06,Thermische,10.1
2014-04-07,Flusskraft,44.9
2014-04-07,Kernkraft,70.3
2014-04-07,Speicherkraft,57.1
2014-04-07,Thermische,10.1
2014-04-08,Flusskraft,50.2
2014-04-08,Kernkraft,70.3
2014-04-08,Speicherkraft,56.3
2014-04-08,Thermische,10.1
2014-04-09,Flusskraft,46.4
2014-04-09,Kernkraft,70.5
2014-04-09,Speicherkraft,61.9
2014-04-09,Thermische,10.1
2014-04-10,Flusskraft,44.7
2014-04-10,Kernkraft,70.2
2014-04-10,Speicherkraft,73.1
2014-04-10,Thermische,10.1
2014-04-11,Flusskraft,45.2
2014-04-11,Kernkraft,70.4
2014-04-11,Speicherkraft,62.6
2014-04-11,Thermische,10.1
2014-04-12,Flusskraft,42.8
2014-04-12,Kernkraft,70.4
2014-04-12,Speicherkraft,32.9
2014-04-12,Thermische,10.1
2014-04-13,Flusskraft,41.7
2014-04-13,Kernkraft,70.3
2014-04-13,Speicherkraft,32.3
2014-04-13,Thermische,10.1
2014-04-14,Flusskraft,43.7
2014-04-14,Kernkraft,74.0
2014-04-14,Speicherkraft,61.1
2014-04-14,Thermische,10.1
2014-04-15,Flusskraft,42.6
2014-04-15,Kernkraft,79.0
2014-04-15,Speicherkraft,67.7
2014-04-15,Thermische,10.1
2014-04-16,Flusskraft,40.3
2014-04-16,Kernkraft,78.9
2014-04-16,Speicherkraft,70.4
2014-04-16,Thermische,10.1
2014-04-17,Flusskraft,37.5
2014-04-17,Kernkraft,79.7
2014-04-17,Speicherkraft,60.7
2014-04-17,Thermische,10.1
2014-04-18,Flusskraft,33.4
2014-04-18,Kernkraft,79.6
2014-04-18,Speicherkraft,45.3
2014-04-18,Thermische,10.1
2014-04-19,Flusskraft,32.7
2014-04-19,Kernkraft,79.8
2014-04-19,Speicherkraft,43.0
2014-04-19,Thermische,10.1
2014-04-20,Flusskraft,29.9
2014-04-20,Kernkraft,79.6
2014-04-20,Speicherkraft,26.3
2014-04-20,Thermische,10.1
2014-04-21,Flusskraft,32.1
2014-04-21,Kernkraft,79.7
2014-04-21,Speicherkraft,31.0
2014-04-21,Thermische,10.1
2014-04-22,Flusskraft,35.0
2014-04-22,Kernkraft,79.3
2014-04-22,Speicherkraft,63.2
2014-04-22,Thermische,10.1
2014-04-23,Flusskraft,36.5
2014-04-23,Kernkraft,79.2
2014-04-23,Speicherkraft,62.4
2014-04-23,Thermische,10.1
2014-04-24,Flusskraft,39.2
2014-04-24,Kernkraft,79.1
2014-04-24,Speicherkraft,53.0
2014-04-24,Thermische,10.1
2014-04-25,Flusskraft,42.1
2014-04-25,Kernkraft,79.0
2014-04-25,Speicherkraft,48.9
2014-04-25,Thermische,10.1
2014-04-26,Flusskraft,45.9
2014-04-26,Kernkraft,79.1
